8/26/2019 9:56:17 AM  -	...........Task Started!...........
8/26/2019 1:48:10 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1R01CA250466-01    - Application number has changed.;  Recieved Date: 8/26/2019 1:34:04 PM
8/26/2019 1:48:12 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1R01CA250465-01    - Application number has changed.;  Recieved Date: 8/26/2019 1:34:59 PM
8/26/2019 1:48:12 PM  -	******* Task Completed! *******5 Mail Items Have Been Processed
8/26/2019 2:08:00 PM  -	...........Task Started!...........
8/26/2019 2:08:08 PM  -	Processed! => EmailSender:PublicAccess; Subjectline :5 R50 CA211524-04 Pearlly Yan COMPLIANT PASC: 5R50CA211524-04 - YAN, PEARLLY ISSUE=129372 PROJ=52;  Recieved Date: 8/26/2019 1:51:51 PM
8/26/2019 2:08:12 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1R01CA250467-01    - Application number has changed.;  Recieved Date: 8/26/2019 1:57:37 PM
8/26/2019 2:08:14 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1 R01 CA250017-01 - PD/PI Changed;  Recieved Date: 8/26/2019 1:59:08 PM
8/26/2019 2:08:17 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :Just in Time Submitted by NIH Commons for Grant Application: R01CA225945-01A1 .;  Recieved Date: 8/26/2019 2:06:58 PM
8/26/2019 2:08:19 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1R01CA250468-01    - Application number has changed.;  Recieved Date: 8/26/2019 2:07:15 PM
8/26/2019 2:08:19 PM  -	******* Task Completed! *******5 Mail Items Have Been Processed
8/26/2019 2:28:00 PM  -	...........Task Started!...........
8/26/2019 2:28:02 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1R01CA250469-01    - Application number has changed.;  Recieved Date: 8/26/2019 2:09:44 PM
8/26/2019 2:28:05 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1R01CA250470-01    - Application number has changed.;  Recieved Date: 8/26/2019 2:13:27 PM
8/26/2019 2:28:06 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1R01CA250471-01    - Application number has changed.;  Recieved Date: 8/26/2019 2:15:53 PM
8/26/2019 2:28:08 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1R01CA250472-01    - Application number has changed.;  Recieved Date: 8/26/2019 2:16:11 PM
8/26/2019 2:28:13 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :No Cost Extension Submitted by NIH Commons for Grant: U01CA187956-06.;  Recieved Date: 8/26/2019 2:21:16 PM
8/26/2019 2:28:15 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1R01CA250473-01    - Application number has changed.;  Recieved Date: 8/26/2019 2:21:45 PM
8/26/2019 2:28:17 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :Just in Time Submitted by NIH Commons for Grant Application: R35CA242379-01 .;  Recieved Date: 8/26/2019 2:25:22 PM
8/26/2019 2:28:17 PM  -	******* Task Completed! *******7 Mail Items Have Been Processed
8/26/2019 2:48:01 PM  -	...........Task Started!...........
8/26/2019 2:48:04 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :Just in Time Submitted by NIH Commons for Grant Application: R50CA243769-01 .;  Recieved Date: 8/26/2019 2:30:05 PM
8/26/2019 2:48:05 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :Just in Time Submitted by NIH Commons for Grant Application: R01CA081301-21A1 .;  Recieved Date: 8/26/2019 2:30:53 PM
8/26/2019 2:48:09 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :eRA Commons: The Final RPPR for Award R43CA195841-01A1 have been submitted to the NIH;  Recieved Date: 8/26/2019 2:45:05 PM
8/26/2019 2:48:10 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1 R01 CA246240-01 - Application is withdrawn request by PI or IC.;  Recieved Date: 8/26/2019 2:45:33 PM
8/26/2019 2:48:11 PM  -	******* Task Completed! *******4 Mail Items Have Been Processed
8/26/2019 3:08:00 PM  -	...........Task Started!...........
8/26/2019 3:08:03 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1R01CA250474-01    - Application number has changed.;  Recieved Date: 8/26/2019 2:49:16 PM
8/26/2019 3:08:04 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :eRA Commons: The Final RPPR for Award R01CA108607-10 have been submitted to the NIH;  Recieved Date: 8/26/2019 2:51:58 PM
8/26/2019 3:08:05 PM  -	******* Task Completed! *******2 Mail Items Have Been Processed
8/26/2019 3:28:00 PM  -	...........Task Started!...........
8/26/2019 3:28:03 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :The Final Invention Statement for Award 5 R01 CA169046-05 has been Submitted to the NIH;  Recieved Date: 8/26/2019 3:17:05 PM
8/26/2019 3:28:05 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :eRA Commons: The Final RPPR for Award R01CA169046-05 have been submitted to the NIH;  Recieved Date: 8/26/2019 3:20:07 PM
8/26/2019 3:28:05 PM  -	******* Task Completed! *******2 Mail Items Have Been Processed
8/26/2019 3:48:00 PM  -	...........Task Started!...........
8/26/2019 3:48:12 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :ReceiptofaNewFCOIreport16842forgrantnumber5R01CA220297-03;  Recieved Date: 8/26/2019 3:41:26 PM
8/26/2019 3:48:14 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 2 P01 CA114046-11A1/Administrative-Core-001 - PD/PI Changed;  Recieved Date: 8/26/2019 3:46:24 PM
8/26/2019 3:48:17 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 2 P01 CA114046-11A1/Administrative-Core-001 - PD/PI Changed;  Recieved Date: 8/26/2019 3:46:40 PM
8/26/2019 3:48:24 PM  -	Processed! => EmailSender:elesinmf; Subjectline :Automatic reply: Receipt of a New FCOI report 16842 for grant number: 5R01CA220297-03;  Recieved Date: 8/26/2019 3:48:10 PM
8/26/2019 3:48:24 PM  -	******* Task Completed! *******4 Mail Items Have Been Processed
8/26/2019 4:08:03 PM  -	...........Task Started!...........
8/26/2019 4:08:11 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 2 P01 CA114046-11A1/Project-004 - PD/PI Changed;  Recieved Date: 8/26/2019 3:51:45 PM
8/26/2019 4:08:14 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 2 P01 CA114046-11A1/Project-004 - PD/PI Changed;  Recieved Date: 8/26/2019 3:52:07 PM
8/26/2019 4:08:22 PM  -	Processed! => EmailSender:PublicAccess; Subjectline :5 T32 CA160001-09 Charles Sawyers COMPLIANT PASC: 5T32CA160001-09 - SAWYERS, CHARLES L ISSUE=125011 PROJ=52;  Recieved Date: 8/26/2019 3:59:43 PM
8/26/2019 4:08:23 PM  -	******* Task Completed! *******3 Mail Items Have Been Processed
8/26/2019 4:28:00 PM  -	...........Task Started!...........
8/26/2019 4:28:02 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :Just in Time Submitted by NIH Commons for Grant Application: U54CA242977-01 .;  Recieved Date: 8/26/2019 4:16:10 PM
8/26/2019 4:28:04 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :The Final Invention Statement for Award 1 R41 CA213479-01A1 has been Submitted to the NIH;  Recieved Date: 8/26/2019 4:21:19 PM
8/26/2019 4:28:06 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :Just in Time Submitted by NIH Commons for Grant Application: R01CA238439-01A1 .;  Recieved Date: 8/26/2019 4:26:29 PM
8/26/2019 4:28:06 PM  -	******* Task Completed! *******3 Mail Items Have Been Processed
8/26/2019 4:48:01 PM  -	...........Task Started!...........
8/26/2019 4:48:04 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :Just in Time Submitted by NIH Commons for Grant Application: R01CA244900-01 .;  Recieved Date: 8/26/2019 4:40:12 PM
8/26/2019 4:48:12 PM  -	Processed! => EmailSender:PublicAccess; Subjectline :CA189829-06   PASC: 2UG1CA189829-06 - ELLERTON, JOHN A ISSUE=129598 PROJ=52;  Recieved Date: 8/26/2019 4:45:25 PM
8/26/2019 4:48:20 PM  -	Processed! => EmailSender:PublicAccess; Subjectline :CA189862-06   PASC: 2UG1CA189862-06 - BAEZ- DIAZ, LUIS ISSUE=129599 PROJ=52;  Recieved Date: 8/26/2019 4:45:32 PM
8/26/2019 4:48:20 PM  -	******* Task Completed! *******3 Mail Items Have Been Processed
8/26/2019 5:08:00 PM  -	...........Task Started!...........
8/26/2019 5:08:00 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 5:28:00 PM  -	...........Task Started!...........
8/26/2019 5:28:02 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 1 R21 CA250106-01 - Application is withdrawn request by PI or IC.;  Recieved Date: 8/26/2019 5:09:07 PM
8/26/2019 5:28:04 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :eRA Commons: The Final RPPR for Award R01CA168762-05 have been submitted to the NIH;  Recieved Date: 8/26/2019 5:23:53 PM
8/26/2019 5:28:04 PM  -	******* Task Completed! *******2 Mail Items Have Been Processed
8/26/2019 5:48:00 PM  -	...........Task Started!...........
8/26/2019 5:48:02 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :Just in Time Submitted by NIH Commons for Grant Application: R21CA237531-01A1 .;  Recieved Date: 8/26/2019 5:29:10 PM
8/26/2019 5:48:06 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :eRA Commons: The Interim Progress Report - Additional Materials for Grant 5R01CA172896-05 has been submitted to the NIH;  Recieved Date: 8/26/2019 5:30:52 PM
8/26/2019 5:48:14 PM  -	Processed! => EmailSender:PublicAccess; Subjectline :5 R01 CA189665-06 GUANG YUE Compliant PASC: 5R01CA189665-06 - YUE, GUANG H ISSUE=127145 PROJ=52;  Recieved Date: 8/26/2019 5:31:06 PM
8/26/2019 5:48:16 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 3 R01 CA206193-03 - PD/PI Changed;  Recieved Date: 8/26/2019 5:36:07 PM
8/26/2019 5:48:18 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 3 R01 CA206193-03 - PD/PI Changed;  Recieved Date: 8/26/2019 5:36:08 PM
8/26/2019 5:48:23 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :CHANGE NOTICE FOR 3 R01 CA206193-03 - PD/PI Changed;  Recieved Date: 8/26/2019 5:36:08 PM
8/26/2019 5:48:25 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :Just in Time Submitted by NIH Commons for Grant Application: R21CA234764-01A1 .;  Recieved Date: 8/26/2019 5:39:37 PM
8/26/2019 5:48:25 PM  -	******* Task Completed! *******7 Mail Items Have Been Processed
8/26/2019 6:08:00 PM  -	...........Task Started!...........
8/26/2019 6:08:05 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :The Final Invention Statement for Award 5 R01 CA184502-04 has been Submitted to the NIH;  Recieved Date: 8/26/2019 6:00:34 PM
8/26/2019 6:08:05 PM  -	******* Task Completed! *******1 Mail Items Have Been Processed
8/26/2019 6:28:00 PM  -	...........Task Started!...........
8/26/2019 6:28:08 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :eRA Commons: RPPR for Grant R01CA211615-03 Received by Agency;  Recieved Date: 8/26/2019 6:10:30 PM
8/26/2019 6:28:08 PM  -	******* Task Completed! *******1 Mail Items Have Been Processed
8/26/2019 6:48:01 PM  -	...........Task Started!...........
8/26/2019 6:48:02 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 7:08:00 PM  -	...........Task Started!...........
8/26/2019 7:08:06 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :Just in Time Submitted by NIH Commons for Grant Application: R03CA230843-01A1 .;  Recieved Date: 8/26/2019 7:04:23 PM
8/26/2019 7:08:06 PM  -	******* Task Completed! *******1 Mail Items Have Been Processed
8/26/2019 7:28:00 PM  -	...........Task Started!...........
8/26/2019 7:28:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 7:48:01 PM  -	...........Task Started!...........
8/26/2019 7:48:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 8:08:00 PM  -	...........Task Started!...........
8/26/2019 8:08:08 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :ReceiptofanAnnualFCOIreport15646forgrantnumber1R43CA232924-01;  Recieved Date: 8/26/2019 7:59:27 PM
8/26/2019 8:08:13 PM  -	Processed! => EmailSender:era-notify@mail.nih.gov; Subjectline :ReceiptofanAnnualFCOIreport15644forgrantnumber1R43CA232924-01;  Recieved Date: 8/26/2019 7:59:44 PM
8/26/2019 8:08:14 PM  -	******* Task Completed! *******2 Mail Items Have Been Processed
8/26/2019 8:28:00 PM  -	...........Task Started!...........
8/26/2019 8:28:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 8:48:00 PM  -	...........Task Started!...........
8/26/2019 8:48:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 9:08:00 PM  -	...........Task Started!...........
8/26/2019 9:08:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 9:28:00 PM  -	...........Task Started!...........
8/26/2019 9:28:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 9:48:00 PM  -	...........Task Started!...........
8/26/2019 9:48:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 10:08:00 PM  -	...........Task Started!...........
8/26/2019 10:08:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 10:28:00 PM  -	...........Task Started!...........
8/26/2019 10:28:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 10:48:00 PM  -	...........Task Started!...........
8/26/2019 10:48:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 11:08:00 PM  -	...........Task Started!...........
8/26/2019 11:08:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 11:28:00 PM  -	...........Task Started!...........
8/26/2019 11:28:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
8/26/2019 11:48:00 PM  -	...........Task Started!...........
8/26/2019 11:48:01 PM  -	******* Task Completed! *******0 Mail Items Have Been Processed
